职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
NLP算法工程师,上海,建信览智,15-20K,硕士,在校/应届,计算机软件
NLP算法工程师,上海·闵行区·浦江,泛微网络,15-30K·15薪,硕士,在校/应届,计算机软件
无线通信算法工程师,上海·浦东新区·金桥,华为技术有限公司,16-30K,本科,在校/应届,计算机软件
机器学习算法工程师,上海,货拉拉科技,25-50K,本科,在校/应届,互联网
软件算法,上海·浦东新区·金桥,华为,13-26K,本科,在校/应届,计算机软件
通信算法工程师,上海·徐汇区·漕河泾,国科微电子,13-20K,本科,在校/应届,智能硬件
软件工程师（前端，后端，算法）,上海·浦东新区·陆家嘴,阿里巴巴集团,23-30K·16薪,硕士,在校/应届,互联网
通信算法,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
算法工程师,上海·闵行区·华漕,永辉大科技,14-22K·16薪,硕士,在校/应届,新零售
阿里本地生活-营销推荐算法-实习生内推,上海·普陀区·长征,口碑,20-21K·13薪,硕士,在校/应届,O2O
软件工程师,上海·浦东新区·北蔡,禾苗通信,10-12K·13薪,本科,在校/应届,通信/网络设备
算法工程师,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
无线通信算法工程师,上海·浦东新区·金桥,华为,18-20K·15薪,本科,在校/应届,计算机软件
软件工程师,上海·宝山区·上大,复星长征,7-10K·14薪,本科,在校/应届,医疗健康
NLP算法工程师,上海·松江区·中山,讯牛,10-11K,本科,在校/应届,计算机软件
感知算法开发工程师,上海·闵行区·华漕,合众新能源汽车,10-15K,本科,在校/应届,汽车生产
算法工程师 校招,上海·长宁区·仙霞,拼多多,20-40K·18薪,本科,在校/应届,移动互联网
2021校招-管培生（算法方向）,上海·虹口区·北外滩,维信金科,15-18K,本科,在校/应届,互联网金融
算法工程师,上海·杨浦区·东外滩,达达集团,15-30K,本科,在校/应届,O2O
算法工程师,上海·黄浦区·外滩,百联全渠道,10-15K·13薪,硕士,在校/应届,O2O
研发工程师-开发/算法 (21校招),上海·嘉定区·安亭,PonyAI小马智行,20-40K·16薪,本科,在校/应届,互联网
软件工程师,上海·浦东新区·北蔡,禾苗通信,10-12K·13薪,本科,在校/应届,通信/网络设备
算法工程师（人工智能/智能编解码）,上海·浦东新区·张江,星宸科技股份有限公司,16-20K·14薪,硕士,在校/应届,电子/半导体/集成电路
软件工程师,上海·浦东新区·北蔡,禾苗通信,12-18K·13薪,本科,在校/应届,通信/网络设备
SLAM算法工程师,上海·浦东新区·金桥,擎朗智能,15-30K·14薪,本科,在校/应届,智能硬件
路径规划&控制算法工程师,上海·浦东新区·金桥,擎朗智能,15-30K·14薪,本科,在校/应届,智能硬件
软件算法-留学生校招,上海·浦东新区·金桥,华为技术有限公司,18-35K,本科,在校/应届,计算机软件
医学影像算法工程师,上海·浦东新区·金桥,华为,30-50K,硕士,在校/应届,计算机软件
自动驾驶算法工程师,上海·长宁区·古北,苏州智加科技有限...,25-50K,硕士,在校/应届,计算机软件
nlp培训生,上海·杨浦区·五角场,犀语科技,10-15K,硕士,在校/应届,其他行业
nlp培训生,上海·杨浦区·五角场,犀语科技,10-15K,硕士,在校/应届,其他行业
机器学习算法工程师,上海·浦东新区·陆家嘴,蚂蚁金服,18-26K·16薪,本科,在校/应届,互联网
视觉算法工程师（苏州/上海）,上海·杨浦区·东外滩,挚途科技,15-30K,硕士,在校/应届,计算机软件
自动驾驶算法工程师,上海·浦东新区·金桥,华为,30-40K·14薪,博士,在校/应届,计算机软件
数据标注员,上海·浦东新区·金桥,中软国际,8-10K,大专,在校/应届,计算机软件
软件工程师,上海·浦东新区·金桥,华为技术有限公司,14-25K,硕士,在校/应届,计算机软件
算法_校招,上海·闵行区·合川路,今日头条,15-25K·15薪,硕士,在校/应届,移动互联网
计算机视觉算法（图像质量评价和美学评估）,上海·徐汇区·龙华,OPPO,15-30K,不限,在校/应届学历,互联网
2021校招-管培生（算法方向）,上海·虹口区·北外滩,维信金科,15-25K,本科,在校/应届,互联网金融
NLP工程师,上海·黄浦区·打浦桥,循环智能,30-50K·14薪,硕士,在校/应届,计算机软件
算法工程师,上海·长宁区·古北,拼多多,16-32K,不限,在校/应届学历,移动互联网
数据分析师,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
算法工程师,上海·浦东新区·金桥,上海华为技术有限公司,18-24K,硕士,在校/应届,通信/网络设备
算法工程师,上海·浦东新区·陆家嘴,蚂蚁金服,25-50K·16薪,硕士,在校/应届,互联网
算法工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-40K·17薪,硕士,在校/应届,互联网
激光雷达算法工程师（苏州/上海）-校招,上海·杨浦区·东外滩,挚途科技,15-30K,硕士,在校/应届,计算机软件
算法工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-20K,硕士,在校/应届,互联网金融
算法工程师,上海·浦东新区·金桥,华为技术有限公司,16-30K,硕士,在校/应届,计算机软件
算法工程师,上海·浦东新区·金桥,华为,13-25K,本科,在校/应届,计算机软件
算法研究员,上海·浦东新区·金桥,华为,30-60K,博士,在校/应届,计算机软件
机器学习算法工程师,上海·浦东新区·陆家嘴,蚂蚁金服,18-26K·16薪,硕士,在校/应届,互联网
算法工程师,上海·浦东新区·陆家嘴,蚂蚁金服,18-26K·16薪,本科,在校/应届,互联网
算法工程师,上海·浦东新区·陆家嘴,蚂蚁金服,18-26K·16薪,本科,在校/应届,互联网
算法工程师（上海）（2021年校招）,上海·青浦区·赵巷,影谱科技,15-25K,本科,在校/应届,互联网
算法工程师,上海·浦东新区·金桥,华为技术有限公司,15-30K,硕士,在校/应届,计算机软件
算法研究员,上海·浦东新区·金桥,华为,25-30K,博士,在校/应届,计算机软件
通信算法工程师,上海·浦东新区·金桥,上海华为技术有限公司,15-30K·15薪,本科,在校/应届,通信/网络设备
通讯算法工程师,上海·浦东新区·金桥,华为,15-30K·16薪,硕士,在校/应届,计算机软件
【华为无线22届校招】通信算法岗,上海·浦东新区·金桥,华为技术有限公司,15-25K·14薪,本科,在校/应届,计算机软件
视觉AI算法工程师（杭州/深圳),上海·浦东新区·金桥,华为技术有限公司,25-50K,博士,在校/应届,计算机软件
蚂蚁金服校招-软件开发、算法、测试工程师,上海·浦东新区·陆家嘴,蚂蚁胜信,25-40K·16薪,本科,在校/应届,移动互联网
路径规划算法工程师（苏州/上海）-校招,上海·杨浦区·东外滩,挚途科技,15-30K,硕士,在校/应届,计算机软件
视觉AI算法工程师（杭州/深圳),上海·浦东新区·金桥,华为技术有限公司,25-50K,博士,在校/应届,计算机软件
行为预测算法工程师（苏州/上海）,上海·杨浦区·东外滩,挚途科技,15-30K,硕士,在校/应届,计算机软件
视觉AI算法工程师（杭州/南京/北京),上海·浦东新区·金桥,华为技术有限公司,25-50K,博士,在校/应届,计算机软件
大数据分析工程师-技术中台,上海·闵行区·虹梅路,今日头条,17-25K·15薪,本科,在校/应届,移动互联网
后台开发工程师（2021届应届生）(J22077),上海·长宁区·北新泾,携程集团,20-21K·15薪,本科,在校/应届,互联网
软件工程师,上海·松江区·松江大学城,中航国际仿真,13-18K,硕士,在校/应届,计算机软件
软件工程师,上海·杨浦区·五角场,航翼研究院,8-13K,本科,在校/应届,船舶/航空/航天
AI算法工程师,上海·浦东新区·张江,西人马科技,10-15K·14薪,本科,在校/应届,智能硬件
物理算法工程师,上海,上海联影,15-20K·14薪,硕士,在校/应届,医疗设备/器械
深度学习/计算机视觉算法工程师/研究员,上海·虹口区·江湾,芯翌科技,25-40K·14薪,本科,在校/应届,计算机软件
算法工程师,上海·徐汇区·漕河泾,富瀚微电子,10-15K·14薪,本科,在校/应届,智能硬件
项目实施工程师,上海·徐汇区·漕河泾,快仓智能,6-10K·13薪,大专,在校/应届,智能硬件
软件工程师,上海·闵行区·莘庄,先勒动力,6-9K·14薪,本科,在校/应届,电子/半导体/集成电路
nlp管培生,上海,犀语科技,10-15K,本科,在校/应届,其他行业
图像算法工程师,上海·浦东新区·金桥,帆声图像,9-13K,本科,在校/应届,电子/半导体/集成电路
医学图像算法工程师,上海·嘉定区·嘉定镇,上海联影,15-20K·15薪,硕士,在校/应届,医疗设备/器械
2022校园招聘研发提前批 实习,上海·闵行区·虹梅路,北京字节跳动,23-30K·15薪,本科,在校/应届,移动互联网
2021校招—管培生（技术研发方向）,上海·虹口区·北外滩,维信金科,15-25K,本科,在校/应届,互联网金融
软件工程师,上海·松江区·泗泾,上海创远仪器技术...,10-15K·15薪,本科,在校/应届,仪器仪表/工业自动化
网络安全工程师,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
Java开发工程师,上海·浦东新区·张江,兴业数金,15-25K,本科,在校/应届,互联网
