职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
【留学生】C/C++开发工程师_上海,上海·浦东新区·金桥,华为技术有限公司,20-35K,本科,在校/应届,计算机软件
服务端开发工程师-.net-Choice（2021春招）,上海,东方财富集团,15-25K·16薪,本科,在校/应届,证券/期货
Java游戏服务端开发,上海·闵行区·七宝,免免,5-10K,本科,在校/应届,游戏
【华为无线22届校招】C/C++开发,上海·浦东新区·金桥,华为技术有限公司,15-25K·15薪,本科,在校/应届,计算机软件
服务端开发,上海·浦东新区·联洋,淘宝,20-24K,硕士,在校/应届,移动互联网
基础软件开发工程师(C/C++）留学生优先,上海·浦东新区·金桥,华为,14-25K,硕士,在校/应届,计算机软件
游戏服务器开发,上海·浦东新区·张江,欢乐互娱,15-25K·14薪,本科,在校/应届,游戏
python服务端开发,上海·徐汇区·田林,友济网络,6-10K·14薪,大专,在校/应届,移动互联网
淘宝消息平台，服务端开发，实习生,上海·浦东新区·联洋,阿里巴巴集团,8-12K,本科,在校/应届,互联网
初级C++服务端程序,上海·嘉定区·南翔,硬壳网络,4-6K·13薪,本科,在校/应届,游戏
服务端开发工程师,上海·徐汇区·漕河泾,网易有道,13-26K,不限,在校/应届学历,互联网
游戏开发工程师 【校招】,上海·长宁区·仙霞,友塔游戏,12-20K,本科,在校/应届,游戏
C/C++软件开发工程师,上海·浦东新区·张江,上海博达,10-15K,本科,在校/应届,通信/网络设备
游戏开发工程师,上海·长宁区·仙霞,友塔游戏,12-20K,本科,在校/应届,游戏
软件开发工程师（C/C++21届）,上海·徐汇区·田林,龙旗科技,10-15K,本科,在校/应届,通信/网络设备
C/C++软件开发工程师,上海,ALE,10-15K,硕士,在校/应届,通信/网络设备
Android开发工程师（c/c++）,上海·浦东新区·张江,传音控股,3-4K,本科,在校/应届,移动互联网
驱动开发工程师（c/c++）,上海·浦东新区·张江,传音控股,3-4K,本科,在校/应届,移动互联网
c++游戏服务器,上海·徐汇区·漕河泾,上海炫亮,10-15K,本科,在校/应届,游戏
C/C++开发工程师（芯片）,上海·浦东新区·张江,哲库,18-20K,硕士,在校/应届,电子/半导体/集成电路
IoT小程序容器开发,上海·浦东新区·陆家嘴,蚂蚁金服,17-30K·16薪,本科,在校/应届,互联网
C/C++工程师,上海·浦东新区·张江,伴芯科技,25-35K,本科,在校/应届,电子/半导体/集成电路
软件工程师（前端，后端，算法）,上海·浦东新区·陆家嘴,阿里巴巴集团,23-30K·16薪,硕士,在校/应届,互联网
平台前端/后端开发工程师,上海,友塔游戏,11-20K·14薪,本科,在校/应届,游戏
芯片设计后端工程师,上海·浦东新区·张江,比特大陆,20-35K·15薪,硕士,在校/应届,移动互联网
后端开发(字节秋招提前批),上海·闵行区·虹桥,北京字节跳动,15-30K,本科,在校/应届,移动互联网
后端开发工程师-抖音电商,上海·杨浦区·五角场,北京字节跳动,20-30K,本科,在校/应届,移动互联网
后端开发工程师,上海·闵行区·虹桥,北京字节跳动,12-24K,本科,在校/应届,移动互联网
后端开发工程师,上海·浦东新区·张江,兴业数金,13-18K,本科,在校/应届,互联网
游戏运营管培生,上海·长宁区·仙霞,友塔游戏,9-14K,本科,在校/应届,游戏
游戏管培生Young Star计划,上海·闵行区·颛桥,盛也网络,9-10K·13薪,本科,在校/应届,移动互联网
游戏策划管培生,上海·长宁区·仙霞,友塔游戏,11-18K,本科,在校/应届,游戏
游戏策划师,上海·徐汇区·漕河泾,阿里巴巴集团,12-20K·15薪,本科,在校/应届,互联网
后端开发工程师,上海,携程集团,20-21K·15薪,本科,在校/应届,互联网
Java Web后端开发（上海）,上海,上海格尔软件,8-13K,本科,在校/应届,信息安全
测试工程师,上海·杨浦区·五角场,北京字节跳动,20-30K·15薪,本科,在校/应届,移动互联网
测试开发工程师,上海·杨浦区·五角场,北京字节跳动,20-30K·15薪,本科,在校/应届,移动互联网
2022届JAVA后端实习生[J862068],上海,驿申,2-4K·13薪,大专,在校/应届,互联网
游戏策划,上海·浦东新区·张江,欢乐互娱,8-12K·14薪,本科,在校/应届,游戏
数据分析师（2021届校招）,上海·浦东新区·张江,域起网络,10-15K,本科,在校/应届,移动互联网
游戏渠道投放（2021届）,上海,恺英网络,8-12K·14薪,本科,在校/应届,游戏
角色/场景原画,上海·杨浦区·五角场,勇仕,8-13K·14薪,不限,在校/应届学历,游戏
平台产品经理,上海·长宁区·天山,友塔游戏,10-15K·14薪,本科,在校/应届,游戏
游戏界面设计师,上海·浦东新区·张江,北京字节跳动,10-11K,不限,在校/应届学历,移动互联网
游戏策划,上海,欢乐互娱,15-18K·14薪,本科,在校/应届,游戏
角色原画设计师,上海·长宁区·仙霞,友塔游戏,8-13K,本科,在校/应届,游戏
校招-特效,上海,bilibili,13-20K·15薪,本科,在校/应届,互联网
游戏UI设计师 (MJ000401),上海·普陀区·长风,波克城市,8-13K·15薪,大专,在校/应届,游戏
游戏开发,上海·浦东新区·张江,欢乐互娱,15-25K·14薪,本科,在校/应届,游戏
C++游戏开发工程师,上海·徐汇区·漕河泾,上海炫亮,10-15K,本科,在校/应届,游戏
大数据分析工程师-技术中台,上海·闵行区·虹梅路,今日头条,17-25K·15薪,本科,在校/应届,移动互联网
游戏策划,上海·闵行区·七宝,巨枫娱乐,8-16K,本科,在校/应届,游戏
后端开发工程师 （G21Q2002）,上海,Neo 智能经济,11-22K·17薪,本科,在校/应届,互联网
游戏美术设计,上海,今日头条,13-26K·15薪,本科,在校/应届,移动互联网
软件开发工程师C/C++/JAVA/Python,上海·浦东新区·金桥,华为技术有限公司,16-30K·14薪,硕士,在校/应届,计算机软件
后端研发,上海·闵行区·吴泾,ZStack,12-15K·15薪,本科,在校/应届,计算机软件
后端开发工程师,上海·浦东新区·塘桥,Caton,15-25K,本科,在校/应届,企业服务
资深游戏测试,上海·静安区·南京西路,EA,10-15K,不限,在校/应届学历,互联网
游戏策划,上海·徐汇区·漕河泾,上海炫亮,10-15K,本科,在校/应届,游戏
游戏策划,上海·浦东新区·张江,柒陆游戏,6-8K,不限,在校/应届学历,游戏
校招-动作,上海,bilibili,13-20K·15薪,本科,在校/应届,互联网
手游平台管理员,上海·徐汇区·漕河泾,garena,8-13K·13薪,本科,在校/应届,互联网
游戏数据分析师,上海·徐汇区·龙华,完美时空(柒嘉),8-13K·13薪,本科,在校/应届,游戏
角色原画设计师 (MJ000399),上海·普陀区·长风,波克城市,8-13K·15薪,大专,在校/应届,游戏
交付专员（春招）,上海·宝山区·共富,NIO蔚来,8-12K,本科,在校/应届,汽车生产
游戏策划,上海·虹口区·北外滩,宣游网络,5-10K,本科,在校/应届,游戏
游戏C++开发工程师,上海·徐汇区·漕河泾,上海炫亮,10-15K,本科,在校/应届,游戏
研发工程师/后端开发工程师（应届生）,上海·杨浦区·东外滩,上海展湾信息科技,12-17K·13薪,本科,在校/应届,计算机软件
数据分析&数据开发,上海·松江区·松江万达,巨人网络,5-10K,硕士,在校/应届,游戏
场景原画师（手绘/板绘）,上海·普陀区·长征,丝路视觉上海分公司,6-10K,大专,在校/应届,媒体
后端开发工程师,上海,上海展湾信息科技,13-18K·13薪,本科,在校/应届,计算机软件
游戏研发工程师,上海·徐汇区·漕河泾,上海炫亮,10-15K,本科,在校/应届,游戏
Java后端开发-校招,上海·普陀区·长风,上海地听,7-12K·13薪,本科,在校/应届,计算机软件
游戏PM-游戏项目管理,上海·徐汇区·漕河泾,garena,5-8K,本科,在校/应届,互联网
运营助理（游戏/品牌）,上海·杨浦区·东外滩,新数网络,5-7K,大专,在校/应届,广告营销
C/C++开发工程师,上海·普陀区·长风,博科资讯,10-15K,硕士,在校/应届,计算机软件
游戏策划,上海·徐汇区·漕河泾,上海炫亮,8-13K,本科,在校/应届,游戏
品牌设计师,上海·普陀区·长寿路,焕识品牌,5-8K,本科,在校/应届,广告/公关/会展
手游服务器端初级工程师,上海·徐汇区·漕河泾,舟山哥伦布,10-15K,本科,在校/应届,游戏
游戏数据分析师,上海·徐汇区·漕河泾,上海炫亮,8-13K,本科,在校/应届,游戏
芯片工程师-系统架构,上海·闵行区·虹梅路,北京字节跳动,20-30K·15薪,本科,在校/应届,移动互联网
游戏文案策划,上海,鸣枭文化,8-12K·13薪,本科,在校/应届,文化/体育/娱乐
游戏客户端开发,上海·浦东新区·张江,欢乐互娱,15-25K·14薪,本科,在校/应届,游戏
芯片后端工程师,上海·浦东新区·张江,地平线,15-30K,本科,在校/应届,电子/半导体/集成电路
测试开发工程师,上海·闵行区·莘庄,哈啰出行,20-40K·16薪,本科,在校/应届,互联网
自动化测试工程师,上海·杨浦区·五角场,北京字节跳动,7-10K,本科,在校/应届,移动互联网
U3D实习生,上海·浦东新区·三林,竹子互联网信息服务,3-8K,本科,在校/应届,游戏
初级美术师,上海,上海湃喏,8-10K·13薪,大专,在校/应届,广告/公关/会展
C++游戏服务器开发工程师（管培生）,上海·闵行区·浦江,拾疏,8-10K·14薪,本科,在校/应届,互联网
c/c++软件开发,上海·徐汇区·斜土路,迪爱斯,6-10K·14薪,本科,在校/应届,信息安全
C++游戏服务器开发工程师（管培生）,上海·闵行区·浦江,拾疏,8-10K·14薪,本科,在校/应届,互联网
c/c++软件开发,上海·徐汇区·斜土路,迪爱斯,6-10K·14薪,本科,在校/应届,信息安全
前端开发-抖音电商,上海·杨浦区·五角场,北京字节跳动,20-40K,不限,在校/应届学历,移动互联网
后端设计工程师 (校招）,上海·浦东新区·张江,西人马科技,8-13K·14薪,本科,在校/应届,智能硬件
Java,上海·浦东新区·联洋,阿里巴巴集团,20-21K,本科,在校/应届,互联网
C/Go开发（信息安全）,上海·宝山区·淞南,创旗,6-10K,本科,在校/应届,信息安全
开发工程师,上海·浦东新区·张江,阿里云,20-21K·13薪,硕士,在校/应届,互联网
视觉设计师,上海·闵行区·梅陇,上海晶雅,6-10K,本科,在校/应届,广告/公关/会展
数字设计前端、后端,上海·浦东新区·张江,驰芯半导体科技,15-20K,本科,在校/应届,电子/半导体/集成电路
测试开发工程师,上海·闵行区·虹桥,北京字节跳动,20-40K,本科,在校/应届,移动互联网
助理游戏设计师,上海·虹口区·周家嘴路,森霆网络科技,3-4K,大专,在校/应届,游戏
游戏视觉设计师,上海·徐汇区·徐家汇,竹点onezoom,8-13K·13薪,本科,在校/应届,文化/体育/娱乐
C/C++软件开发工程师,上海·长宁区·仙霞,缔安科技,10-15K,本科,在校/应届,互联网
游戏音乐设计师（21届毕业生 ）,上海,心动网络,10-15K·14薪,本科,在校/应届,游戏
Java研发工程师,上海,饿了么,19-20K,本科,在校/应届,O2O
蚂蚁金服22届校招Java实习,上海·浦东新区·陆家嘴,蚂蚁金服,15-30K,本科,在校/应届,互联网
实习生,上海·嘉定区·江桥,歆丝泉,3-4K,大专,在校/应届,生活服务
阿里巴巴内推Java开发,上海·浦东新区·联洋,阿里巴巴集团,15-30K,本科,在校/应届,互联网
